# time[s], acceleration[m.s^-2]
6.143333333333333535e+00,-5.056236844386512885e+00
6.146666666666667389e+00,-5.037648906504892388e+00
6.150000000000000355e+00,-5.049199761218314819e+00
6.153333333333333321e+00,-5.015978260638695119e+00
6.156666666666667176e+00,-5.009444488838974863e+00
6.160000000000000142e+00,-4.994622188843188759e+00
6.163333333333333997e+00,-4.980731482166284252e+00
6.166666666666666963e+00,-4.978495234800520031e+00
6.170000000000000817e+00,-4.958749696219118874e+00
6.173333333333333783e+00,-4.939357913227444996e+00
6.176666666666666750e+00,-4.935023685361366930e+00
6.180000000000000604e+00,-4.941279842993948179e+00
6.183333333333333570e+00,-4.920214408635842140e+00
6.186666666666667425e+00,-4.897468919672392396e+00
6.190000000000000391e+00,-4.886089709405096571e+00
6.193333333333333357e+00,-4.869738094329513878e+00
6.196666666666667211e+00,-4.856453027662203326e+00
6.200000000000000178e+00,-4.866162402236280826e+00
6.203333333333334032e+00,-4.840689053831947142e+00
6.206666666666666998e+00,-4.816532918671306618e+00
6.209999999999999964e+00,-4.830726531336026142e+00
6.213333333333333819e+00,-4.819318370726445089e+00
6.216666666666666785e+00,-4.791990958068235607e+00
6.220000000000000639e+00,-4.785942269952768058e+00
6.223333333333333606e+00,-4.789146570720395957e+00
6.226666666666667460e+00,-4.763739358983199779e+00
6.230000000000000426e+00,-4.745976169817423873e+00
6.233333333333333393e+00,-4.741719755279403259e+00
6.236666666666667247e+00,-4.738224413227494658e+00
6.240000000000000213e+00,-4.724188632344056948e+00
6.243333333333334068e+00,-4.693472431027312375e+00
6.246666666666667034e+00,-4.700385781522991913e+00
6.250000000000000000e+00,-4.695750728308562216e+00
6.253333333333333854e+00,-4.704109923079690780e+00
6.256666666666666821e+00,-4.659910727632532002e+00
6.260000000000000675e+00,-4.658341053822934619e+00
6.263333333333333641e+00,-4.665749514186019020e+00
6.266666666666667496e+00,-4.630682737929703308e+00
6.270000000000000462e+00,-4.637840167974670358e+00
6.273333333333333428e+00,-4.605777249824439146e+00
6.276666666666667282e+00,-4.609065142620334399e+00
6.280000000000000249e+00,-4.599097396955601269e+00
6.283333333333334103e+00,-4.588820625871725234e+00
6.286666666666667069e+00,-4.583307874708302698e+00
6.290000000000000036e+00,-4.559453723655776614e+00
6.293333333333333890e+00,-4.549487973328553814e+00
6.296666666666666856e+00,-4.534695961209596504e+00
6.300000000000000711e+00,-4.531046621911923644e+00
6.303333333333333677e+00,-4.498808948983517908e+00
6.306666666666666643e+00,-4.483996997243695048e+00
6.310000000000000497e+00,-4.479428753845525080e+00
6.313333333333333464e+00,-4.484926930995942307e+00
6.316666666666667318e+00,-4.481535921414868007e+00
6.320000000000000284e+00,-4.461933190443000186e+00
6.323333333333334139e+00,-4.438862035297984399e+00
6.326666666666667105e+00,-4.436559286752419951e+00
6.330000000000000071e+00,-4.441909529638035536e+00
6.333333333333333925e+00,-4.420818126148863492e+00
6.336666666666666892e+00,-4.412265444729090547e+00
6.340000000000000746e+00,-4.393121545338642520e+00
6.343333333333333712e+00,-4.381804393522203966e+00
6.346666666666666679e+00,-4.365520179253919331e+00
6.350000000000000533e+00,-4.356238797981558442e+00
6.353333333333333499e+00,-4.357187737215554968e+00
6.356666666666667354e+00,-4.348641794561072693e+00
6.360000000000000320e+00,-4.332984312477103472e+00
6.363333333333334174e+00,-4.301517694339713316e+00
6.366666666666667140e+00,-4.299426139352916287e+00
6.370000000000000107e+00,-4.301654815144781985e+00
6.373333333333333961e+00,-4.296137313097325716e+00
6.376666666666666927e+00,-4.269091777010916466e+00
6.380000000000000782e+00,-4.266846886403063088e+00
6.383333333333333748e+00,-4.260954514527394821e+00
6.386666666666666714e+00,-4.255866463910669140e+00
6.390000000000000568e+00,-4.236069807282169641e+00
6.393333333333333535e+00,-4.221884077196095930e+00
6.396666666666667389e+00,-4.219584495531789159e+00
6.400000000000000355e+00,-4.212618878573036518e+00
6.403333333333333321e+00,-4.209124483303047448e+00
6.406666666666667176e+00,-4.160508857341771893e+00
6.410000000000000142e+00,-4.157512317392979107e+00
6.413333333333333997e+00,-4.175735486454129841e+00
6.416666666666666963e+00,-4.150443642117884302e+00
6.420000000000000817e+00,-4.149466866264623022e+00
6.423333333333333783e+00,-4.134501098589760559e+00
6.426666666666666750e+00,-4.124487637540991791e+00
6.430000000000000604e+00,-4.111944535921239208e+00
6.433333333333333570e+00,-4.106060265720360647e+00
6.436666666666667425e+00,-4.111547335857706820e+00
6.440000000000000391e+00,-4.067933478956941684e+00
6.443333333333333357e+00,-4.068690129954755541e+00
6.446666666666667211e+00,-4.055021380960978306e+00
6.450000000000000178e+00,-4.059442716305747823e+00
6.453333333333334032e+00,-4.048533773052307438e+00
6.456666666666666998e+00,-4.039462033250553752e+00
6.460000000000000853e+00,-4.032236136692981532e+00
6.463333333333333819e+00,-4.027808690449329099e+00
6.466666666666666785e+00,-4.011374729351099511e+00
6.470000000000000639e+00,-4.006018706390928052e+00
6.473333333333333606e+00,-3.979749167917100205e+00
6.476666666666667460e+00,-3.964644984799833516e+00
6.480000000000000426e+00,-3.952688241163922367e+00
6.483333333333333393e+00,-3.956655263198391115e+00
6.486666666666667247e+00,-3.927860079057113651e+00
6.490000000000000213e+00,-3.926813076253199419e+00
6.493333333333334068e+00,-3.915550619434956303e+00
6.496666666666667034e+00,-3.900167047385825203e+00
6.500000000000000000e+00,-3.903169949293879171e+00
6.503333333333333854e+00,-3.897018642924845899e+00
6.506666666666666821e+00,-3.894195128507573322e+00
6.510000000000000675e+00,-3.859511653885352889e+00
6.513333333333333641e+00,-3.869672578637192384e+00
6.516666666666667496e+00,-3.845991201895987199e+00
6.520000000000000462e+00,-3.834003662737824669e+00
6.523333333333333428e+00,-3.846511471535561277e+00
6.526666666666667282e+00,-3.831584976406110510e+00
6.530000000000000249e+00,-3.811296292511904493e+00
6.533333333333334103e+00,-3.805886422466524532e+00
6.536666666666667069e+00,-3.791502662560851888e+00
6.540000000000000036e+00,-3.780844714212699298e+00
6.543333333333333890e+00,-3.773178835333130365e+00
6.546666666666666856e+00,-3.759924489664218328e+00
6.550000000000000711e+00,3.303832448912064592e+02
6.553333333333333677e+00,3.141204013342829739e+02
6.556666666666667531e+00,2.964537873045428000e+02
6.560000000000000497e+00,2.814387837624361168e+02
6.563333333333333464e+00,2.682276266564518323e+02
6.566666666666667318e+00,2.543610990654278226e+02
6.570000000000000284e+00,2.410713409699329191e+02
6.573333333333334139e+00,2.273057800089709986e+02
6.576666666666667105e+00,2.159169769051022456e+02
6.580000000000000071e+00,2.039588944741168746e+02
6.583333333333333925e+00,1.926627688708011306e+02
6.586666666666666892e+00,1.828457896996019940e+02
6.590000000000000746e+00,1.728154873628451753e+02
6.593333333333333712e+00,1.625608993949201420e+02
6.596666666666666679e+00,1.547200947649392901e+02
6.600000000000000533e+00,1.453636226670639076e+02
6.603333333333333499e+00,1.373163592307660963e+02
6.606666666666667354e+00,1.293901028987894222e+02
6.610000000000000320e+00,1.215260738357293349e+02
6.613333333333334174e+00,1.146764643883685153e+02
6.616666666666667140e+00,1.073648494769844035e+02
6.620000000000000107e+00,1.007409571254610654e+02
6.623333333333333961e+00,9.488590718657913214e+01
6.626666666666666927e+00,8.902306096809088842e+01
6.630000000000000782e+00,8.374675324418969069e+01
6.633333333333333748e+00,7.794641166313893166e+01
6.636666666666666714e+00,7.316062643128636012e+01
6.640000000000000568e+00,6.824624311389506204e+01
6.643333333333333535e+00,6.363341952404792323e+01
6.646666666666667389e+00,5.933286803789581398e+01
6.650000000000000355e+00,5.523082777352455963e+01
6.653333333333333321e+00,5.143376894039318614e+01
6.656666666666667176e+00,4.778274860392137668e+01
6.660000000000000142e+00,4.406165331051476386e+01
6.663333333333333997e+00,4.078419887478080597e+01
6.666666666666666963e+00,3.762615877336693870e+01
6.670000000000000817e+00,3.467104309655193362e+01
6.673333333333333783e+00,3.181524157826529375e+01
6.676666666666666750e+00,2.921195623922239193e+01
6.680000000000000604e+00,2.665976163436730317e+01
6.683333333333333570e+00,2.421609082187778483e+01
6.686666666666667425e+00,2.196712632828343814e+01
6.690000000000000391e+00,1.986058412840225529e+01
6.693333333333333357e+00,1.784180866352575023e+01
6.696666666666667211e+00,1.597177787355336420e+01
6.700000000000000178e+00,1.414452119602897184e+01
6.703333333333334032e+00,1.247879405266971986e+01
6.706666666666666998e+00,1.088110938092228785e+01
6.710000000000000853e+00,9.400967608079287885e+00
6.713333333333333819e+00,7.940977991076173303e+00
6.716666666666666785e+00,6.648076516975518047e+00
6.720000000000000639e+00,5.398152306558345437e+00
6.723333333333333606e+00,4.226021951408696076e+00
6.726666666666667460e+00,3.147786244491147745e+00
6.730000000000000426e+00,2.113720957536249223e+00
6.733333333333333393e+00,1.167467268633664235e+00
6.736666666666667247e+00,2.756878279031392265e-01
6.740000000000000213e+00,-5.542577351930393359e-01
6.743333333333334068e+00,-1.330945413698477520e+00
6.746666666666667034e+00,-2.052393003604502386e+00
6.750000000000000000e+00,-2.717139423429893341e+00
6.753333333333333854e+00,-3.322415818453613667e+00
6.756666666666666821e+00,-3.908874779459643900e+00
6.760000000000000675e+00,-4.457065330945418680e+00
6.763333333333333641e+00,-4.942485949222966468e+00
6.766666666666667496e+00,-5.401166399365004089e+00
6.770000000000000462e+00,-5.809307573615219766e+00
6.773333333333333428e+00,-6.195715215743658355e+00
6.776666666666667282e+00,-6.507618154223333562e+00
6.780000000000000249e+00,-6.855520157216655086e+00
6.783333333333334103e+00,-7.114765439416289361e+00
6.786666666666667069e+00,-7.388058456171877175e+00
6.790000000000000036e+00,-7.610312030810803208e+00
6.793333333333333890e+00,-7.834477107525007256e+00
6.796666666666666856e+00,-8.027647171863771192e+00
6.800000000000000711e+00,-8.190057865164591888e+00
6.803333333333333677e+00,-8.309705660447693987e+00
6.806666666666667531e+00,-8.462553886514564638e+00
6.810000000000000497e+00,-8.551026471507004345e+00
6.813333333333333464e+00,-8.654940210743596651e+00
6.816666666666667318e+00,-8.710116609367473117e+00
6.820000000000000284e+00,-8.798820964740485806e+00
6.823333333333334139e+00,-8.802606612123911489e+00
6.826666666666667105e+00,-8.817343745913325037e+00
6.830000000000000071e+00,-8.861188203544672959e+00
6.833333333333333925e+00,-8.885354779395937541e+00
6.836666666666666892e+00,-8.813327300652204599e+00
6.840000000000000746e+00,-8.808112473835466361e+00
6.843333333333333712e+00,-8.855502235682989109e+00
6.846666666666666679e+00,-8.761898489347359487e+00
6.850000000000000533e+00,-8.739389888533398931e+00
6.853333333333333499e+00,-8.722110045462562411e+00
6.856666666666667354e+00,-8.668079195432714101e+00
6.860000000000000320e+00,-8.589745728619153198e+00
6.863333333333334174e+00,-8.499779082563907906e+00
6.866666666666667140e+00,-8.439421103228649912e+00
6.870000000000000107e+00,-8.369663636749546498e+00
6.873333333333333961e+00,-8.306382204468496511e+00
6.876666666666666927e+00,-8.193839535725906842e+00
6.880000000000000782e+00,-8.128935826345010440e+00
6.883333333333333748e+00,-8.017299464051477642e+00
6.886666666666666714e+00,-7.902498790530710693e+00
6.890000000000000568e+00,-7.793412157787807715e+00
6.893333333333333535e+00,-7.699511461382941846e+00
6.896666666666667389e+00,-7.587823856707500703e+00
6.900000000000000355e+00,-7.514456549207957359e+00
6.903333333333334210e+00,-7.399652725187897850e+00
6.906666666666667176e+00,-7.254462430321585664e+00
6.910000000000000142e+00,-7.166498325846670348e+00
6.913333333333333997e+00,-7.092295107059362280e+00
6.916666666666666963e+00,-6.955487237494258679e+00
6.920000000000000817e+00,-6.857252591782208029e+00
6.923333333333333783e+00,-6.704186296705210601e+00
6.926666666666666750e+00,-6.611571215814840308e+00
6.930000000000000604e+00,-6.496343837686567646e+00
6.933333333333333570e+00,-6.366355086041907363e+00
6.936666666666667425e+00,-6.270062608710630592e+00
6.940000000000000391e+00,-6.152992542880226345e+00
6.943333333333333357e+00,-6.050289275811183032e+00
6.946666666666667211e+00,-5.897130367946897600e+00
6.950000000000000178e+00,-5.803182787168243095e+00
6.953333333333334032e+00,-5.705542692729005161e+00
6.956666666666666998e+00,-5.569312971281705771e+00
6.960000000000000853e+00,-5.458274025897415171e+00
6.963333333333333819e+00,-5.371209382497179163e+00
6.966666666666666785e+00,-5.244729506649303374e+00
6.970000000000000639e+00,-5.137981110602781953e+00
6.973333333333333606e+00,-5.027229679209830771e+00
6.976666666666667460e+00,-4.927688552989616610e+00
6.980000000000000426e+00,-4.835271340568136011e+00
6.983333333333333393e+00,-4.722913617642236161e+00
6.986666666666667247e+00,-4.609417981696957156e+00
6.990000000000000213e+00,-4.517004621286449861e+00
6.993333333333334068e+00,-4.412528047967253286e+00
6.996666666666667034e+00,-4.310007913318472994e+00
